           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.0, build: 4ab6d2ee
Access web UI at http://localhost:6333/dashboard

2026-08-03T11:13:32.535737Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.002075
2026-08-03T11:14:39.758661Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.003775
2026-08-03T11:15:55.479260Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.002378
2026-08-03T11:17:15.141352Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5889 "-" "python-client/1.16.1 python/3.9.1" 0.003618
2026-08-03T11:18:32.099910Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6119 "-" "python-client/1.16.1 python/3.9.1" 0.003616
2026-08-03T12:27:11.530797Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6278 "-" "python-client/1.16.1 python/3.9.1" 0.002391
2026-08-03T12:28:21.566729Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6068 "-" "python-client/1.16.1 python/3.9.1" 0.002249
2026-08-03T12:29:33.005544Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6326 "-" "python-client/1.16.1 python/3.9.1" 0.003660
2026-08-03T12:30:45.171734Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5890 "-" "python-client/1.16.1 python/3.9.1" 0.002226
2026-08-03T12:31:54.813776Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6118 "-" "python-client/1.16.1 python/3.9.1" 0.002410
2026-08-03T12:44:13.266997Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6592 "-" "python-client/1.16.1 python/3.9.1" 0.003294
2026-08-03T12:44:30.278518Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6283 "-" "python-client/1.16.1 python/3.9.1" 0.002705
2026-08-03T12:44:45.533491Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6458 "-" "python-client/1.16.1 python/3.9.1" 0.003534
2026-08-03T12:45:01.140676Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 6067 "-" "python-client/1.16.1 python/3.9.1" 0.003537
2026-08-03T12:45:16.397643Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 5862 "-" "python-client/1.16.1 python/3.9.1" 0.003019
